pl_name,pl_hab,pl_orbper,pl_rade,pl_masse,pl_eqt,st_teff,sy_dist
75 Cet c,0,2051.62,,,,4809,82.9613
8 UMi b,0,93.4,,,,4847.4,162.552
81 Cet b,0,1005.57,,,,4734,101.26
91 Aqr b,0,181.4,,,,4665,44.0304
AB Aur b,0,,,2860.455663,,9770,162.127
AB Pic b,0,,,4290.5,,,50.0475
AF Lep b,0,8030,,1017.050902,,6130,26.8564
AT2021ueyL b,0,4168.69,,425.8900654,,3680,1040
AU Mic b,0,8.463,4.07,17,593,3700,9.7221
AU Mic c,0,18.859019,3.24,13.6,454,3700,9.7221
AU Mic d,0,12.73596,,1.053,,3678,9.7221
BD+03 2562 b,0,481.9,,,,4095,1070.63
BD+05 4868 A b,0,1.271869,,6.2,1820,4596,43.5687
BD+14 4559 b,0,268.94,,,,5008,49.352
BD+15 2375 b,0,153.22,,,,4649,768.045
BD+15 2940 b,0,137.48,,,,4796,426.42
BD+20 2457 b,0,379.63,,,,4137,1539.71
BD+20 2457 c,0,621.99,,,,4137,1539.71
BD+20 274 b,0,578.2,,,,4296,1322.51
BD+20 594 b,0,41.6855,2.23,16.3,546,5766,179.461
BD+45 564 b,0,307.88,,,,5004,53.622
BD+48 738 b,0,392.6,,,,4414,871.493
BD+48 740 b,0,733,,,,4534,666.589
BD+49 828 b,0,2590,,,,4943,442.042
BD+55 362 b,0,265.59,,,,5012,52.5697
BD+60 1417 b,0,,14.68376472,4767.426105,1303,4993,44.9543
BD+63 1405 b,0,1230,,3305.415433,,5000,38.0473
BD-06 1339 b,0,3.8728,,,,4324,20.2695
BD-06 1339 c,0,125.94,,,,4324,20.2695
BD-08 2823 b,0,5.6,,,,4816,41.3342
BD-08 2823 c,0,237.6,,,,4746,41.3342
BD-10 3166 b,0,3.487905,,,,5382.64,84.4069
BD-11 4672 b,0,1634,,,,4550,27.1665
BD-11 4672 c,0,74.2,,,,4550,27.1665
BD-13 2130 b,0,714.29999,,,,4545,925.214
BD-14 3065 b,0,4.2889731,21.59,3932,2001,6935,589.423
BD-17 63 b,0,655.6,,,,4714,34.4603
BD-210397 b,0,1891,,,,4051,23.7324
BD-210397 c,0,6360,,,,4051,23.7324
BEBOP-3 b,0,547,,,,6033,119.052
Barnard b,0,3.1533,,,400,3195,1.82655
Barnard c,0,4.1244,,,400,3195,1.82655
Barnard d,0,2.3402,,,483,3195,1.82655
Barnard e,0,6.7392,,,340,3195,1.82655
CD Cet b,0,2.2907,,,464,3130,8.60715
CFBDSIR J145829+101343 b,0,10037.5,,3337.1,370,580.5,
CFHTWIR-Oph 98 b,0,8040000,20.8487041,2479.061575,1800,2320,
CHXR 73 b,0,,,3994.486,,,190.374
CI Tau c,0,25.2,,,,,157.998
COCONUTS-2 b,0,402000000,12.44196858,2002.318964,434,3406,10.8864
CT Cha b,0,,24.66,5403,2600,,190.72
CoRoT-1 b,0,1.5089686,17.385159,327.3649,1915,5950,787.909
CoRoT-10 b,0,13.2406,10.87,874,600,5075,338.386
CoRoT-11 b,0,2.99433,15.984034,743.7222,1735,6440,655.037
CoRoT-12 b,0,2.828042,16.14,291.438,1442,5675,1126.37
CoRoT-13 b,0,4.03519,14.033668,416.99296,1432,5945,1148.93
CoRoT-14 b,0,1.51214,11.410762,2437.7561,1936,6035,1744.6
CoRoT-16 b,0,5.35227,13.11,170.032,,5650,732.409
CoRoT-17 b,0,3.7681,11.287463,781.8618,1610,5740,1176.12
